Columna;Descripción
ID;This is a unique identifier of the accident record.
Severity;Shows the severity of the accident a number between 1 and 4 where 1 indicates the least impact on traffic (i.e. short delay as a result of the accident) and 4 indicates a significant impact on traffic (i.e. long delay).
Start_Time;Shows start time of the accident in local time zone.
End_Time;Shows end time of the accident in local time zone. End time here refers to when the impact of accident on traffic flow was dismissed.
Start_Lat;Shows latitude in GPS coordinate of the start point.
Start_Lng;Shows longitude in GPS coordinate of the start point.
End_Lat;Shows latitude in GPS coordinate of the end point.
End_Lng;Shows longitude in GPS coordinate of the end point.
Distance(mi);The length of the road extent affected by the accident.
Description;Shows a human provided description of the accident.
Number;Shows the street number in address field.
Street;Shows the street name in address field.
Side;Shows the relative side of the street (Right/Left) in address field.
City;Shows the city in address field.
County;Shows the county in address field.
State;Shows the state in address field.
Zipcode;Shows the zipcode in address field.
Country;Shows the country in address field.
Timezone;Shows timezone based on the location of the accident (eastern central etc.).
Airport_Code;Denotes an airport-based weather station which is the closest one to location of the accident.
Weather_Timestamp;Shows the time-stamp of weather observation record (in local time).
Temperature(F);Shows the temperature (in Fahrenheit).
Wind_Chill(F);Shows the wind chill (in Fahrenheit).
Humidity(%);Shows the humidity (in percentage).
Pressure(in);Shows the air pressure (in inches).
Visibility(mi);Shows visibility (in miles).
Wind_Direction;Shows wind direction.
Wind_Speed(mph);Shows wind speed (in miles per hour).
Precipitation(in);Shows precipitation amount in inches if there is any.
Weather_Condition;Shows the weather condition (rain snow thunderstorm fog etc.)
Amenity;A Point of Interest annotation which indicates presence of amenity in a nearby location.
Bump;A Point of Interest annotation which indicates presence of speed bump or hump in a nearby location.
Crossing;A Point of Interest annotation which indicates presence of crossing in a nearby location.
Give_Way;A Point of Interest annotation which indicates presence of give_way in a nearby location.
Junction;A Point of Interest annotation which indicates presence of junction in a nearby location.
No_Exit;A Point of Interest annotation which indicates presence of no_exit in a nearby location.
Railway;A Point of Interest annotation which indicates presence of railway in a nearby location.
Roundabout;A Point of Interest annotation which indicates presence of roundabout in a nearby location.
Station;A Point of Interest annotation which indicates presence of station in a nearby location.
Stop;A Point of Interest annotation which indicates presence of stop in a nearby location.
Traffic_Calming;A Point of Interest annotation which indicates presence of traffic_calming in a nearby location.
Traffic_Signal;A Point of Interest annotation which indicates presence of traffic_signal in a nearby location.
Turning_Loop;A Point of Interest annotation which indicates presence of turning_loop in a nearby location.
Sunrise_Sunset;Shows the period of day (i.e. day or night) based on sunrise/sunset.
Civil_Twilight;Shows the period of day (i.e. day or night) based on civil twilight. “The period after sunset or before sunrise ending or beginning when the sun is about 6 degrees below the horizon and during which on clear days there is enough light for ordinary outdoor occupations.”
Nautical_Twilight;"Shows the period of day (i.e. day or night) based on nautical twilight. ""Begins in the morning or ends in the evening when the geometric center of the sun is 12 degrees below the horizon."""
Astronomical_Twilight;"Shows the period of day (i.e. day or night) based on astronomical twilight. ""During astronomical twilight the geometric center of the Sun's disk is between 12 and 18 degrees below the horizon."""
